Manufacturer,Model,Power (kW),SFC,Length,Diameter,Weight (kg)
Glushenkov (OMKB),GTD-350,294,0.510953006,1.38176,0.62992,139.3
Allison,T63-A-720,312,0.419711398,1.03632,0.58928,71.7
Allison,250-B17C,313,0.399638244,1.143,0.5715,88.5
MTU,250-MTU-C20B,313,0.395380302,1.03378,0.58928,71.7
Allison,250-C20J,313,0.395380302,0.98552,0.58928,73
Allison,250-C20R/1,336,0.369832652,0.98552,0.58928,78.5
Allison,250-C28C,373,0.368616097,1.20142,0.63754,104.3
Turbomeca,Astazou XIVB,427,0.37956509,1.43002,,166
Avco Lycoming,LTP 101-600A-1A,459,0.330902899,0.94996,0.59182,147.4
Pratt Whitney Canada,PT6A-27,462,0.366182987,1.5748,0.4826,148.8
Turbomeca,Arriel 1A,478,0.348542943,1.08966,0.56896,120.2
Turbomeca,Arriel 1A1,478,0.348542943,1.08966,0.56896,120.2
Turbomeca,Arriel 1A2,478,0.348542943,1.08966,0.56896,120.2
Turbomeca,Arriel 1B,478,0.348542943,1.08966,0.56896,120.2
Allison,250-C30L,485,0.360100214,1.09728,0.6477,117
Allison,250-C30R,485,0.360100214,1.09728,0.6477,117
Allison,250-C30R/1,485,0.360100214,1.09728,0.6477,117
Allison,250-C30R/2,485,0.360100214,1.09728,0.6477,117
Allison,250-C30R/3,485,0.360100214,1.09728,0.6477,117
Allison,250-C30R/3M,485,0.360100214,1.09728,0.6477,117
Allison,250-C30S,485,0.360100214,1.09728,0.6477,117
Pratt Whitney Canada,PT6A-25A,485,0.383214754,1.5748,0.4826,155.6
Allison,T703-AD-700,485,0.352800885,1.09728,0.63754,102.1
Avco Lycoming,LTP 101-700A-1A,522,0.330902899,0.94996,0.59182,147.4
Pratt Whitney Canada,PT6A-25,533,0.383214754,1.5748,0.4826,160.1
Garrett,TPE331-2-201A,533,0.338202228,,0.6604,152.4
Garrett,TPE331-2-201C,533,0.338202228,,0.6604,152.4
Avco Lycoming,LTS 101-750B-2,553,0.346718111,0.82296,0.62738,121.6
Pratt Whitney Canada,PT6A-25C,559,0.361925046,1.5748,0.4826,152
Pratt Whitney Canada,PT6A-34,559,0.361925046,1.5748,0.4826,150.1
Pratt Whitney Canada,PT6A-34B,559,0.361925046,1.5748,0.4826,156
Rolls-Royce,Gem 2 Mk.1001,615,0.316304242,1.10236,0.5969,178.3
Piaggio,Gem 2 Mk.1004D,615,0.316304242,,,163.3
Garrett,TPE331-3A-301W,626,0.333336009,1.0922,0.6604,161
Garrett,TPE331-5-251C,626,0.350976053,1.0922,0.6604,161
Garrett,TPE331-5-251K,626,0.350976053,1.0922,0.6604,161
Garrett,TPE331-5-252C,626,0.350976053,1.0922,0.6604,161
Garrett,TPE331-5-252D,626,0.350976053,1.0922,0.6604,161
Garrett,TPE331-5-252K,626,0.350976053,1.0922,0.6604,161
Garrett,TPE331-5-254K,626,0.350976053,1.0922,0.6604,161
Garrett,TPE331-5-255K,626,0.350976053,1.0922,0.6604,161
Pratt Whitney Canada,PT6A-41,634,0.359491936,1.7018,0.4826,182.8
Pratt Whitney Canada,PT6A-66,634,0.37713198,1.778,0.4826,213.2
Pratt Whitney Canada,T101-CP-100,634,0.336377395,1.8288,0.4826,203.2
PZL Rzeszów,TWD-10W,662,0.364966433,1.87452,0.76454,140.6
Garrett,TPE331-3UW-304G,674,0.333336009,1.0922,0.6604,161
Pratt Whitney Canada,PT6B-36,732,0.361316768,1.50368,0.4953,168.7
Garrett,TPE331-10,734,0.334552563,,0.6604,172.4
Garrett,TPE331-10-501K,734,0.334552563,1.1684,0.6604,172.4
Garrett,TPE331-10R,734,0.334552563,,0.6604,172.4
Garrett,TPE331-10T,734,0.334552563,,0.6604,172.4
Garrett,TPE331-10T-516K,734,0.334552563,1.1684,0.6604,172.4
Garrett,TPE331-10UF,734,0.334552563,1.1684,0.6604,172.4
Rolls-Royce,Gem 42-1 Mk.204,746,0.29805592,1.09728,0.5969,183.3
Rolls-Royce,Gem 42-1 Mk.205,746,0.29805592,1.09728,0.5969,183.3
Rolls-Royce,Gem 42 Mk.1017,746,0.29805592,1.09728,0.5969,183.3
Garrett,TPE331-11-601W,746,0.322387016,1.1684,0.6604,181.4
Garrett,TPE331-11U-601G,746,0.322387016,1.1684,0.6604,181.4
Garrett,TPE331-11U-611G,746,0.322387016,1.1684,0.6604,181.4
Turbomeca,Astazou XX,749,0.309004913,1.52908,0.72136,195
Garrett,T76-G-10,776,0.364966433,1.0922,0.6858,154.7
Pratt Whitney Canada,PT6A-60A,783,0.333336009,1.8288,0.4826,215.5
Pratt Whitney Canada,PT6A-65B,820,0.32603668,1.8796,0.4826,218.2
Turbomeca,TM333-2B2,824,0.321778738,1.04394,0.7112,156.5
Turbomeca,TM333-2M2,824,0.321778738,1.04394,0.7112,156.5
Pratt Whitney Canada,PT6A-62,858,0.344893279,1.778,0.4826,205.9
Garrett,TPE331-12UA-701G,858,0.317520796,1.1684,0.6604,181.4
Garrett,TPE331-12UAR-701G,858,0.317520796,1.1684,0.6604,181.4
Pratt Whitney Canada,PT6A-68,932,0.328469789,1.778,0.4826,249.9
GE,T58-GE-8F,1007,0.364966433,1.4986,0.51308,138.3
LHTEC,CTS800-2,1014,0.27250827,1.04648,0.6985,173.7
LHTEC,CTS800-4N,1014,0.27250827,1.04648,0.6985,173.7
Baranov (OMSK),TVD-20-03,1029,0.307788358,1.77038,0.8509,284.9
de Havilland (Bristol Siddeley),Gnome H.1400,1044,0.37713198,1.39192,0.57658,147.9
Avco Lycoming,T53-L-13B,1044,0.352800885,1.20904,0.5842,247.2
KHI,T53-K-13B2,1044,0.352800885,1.20904,0.5842,244.9
Avco Lycoming,T53-L-701A,1044,0.358883659,1.48336,0.5842,314.3
GE,T58-GE-10,1044,0.37713198,1.4986,0.51308,158.8
LHTEC,T800-LHT-800,1044,0.27250827,0.84328,0.66294,142.9
Napier,Gazelle NGa.13 Mk.161,1081,0.450125267,1.905,1.0795,426.4
Napier,Gazelle NGa.2 Mk.101,1092,0.450125267,1.905,1.0795,420.9
Avco Lycoming,T53-L-17A,1119,0.358883659,1.20904,0.5842,247.2
GE,T58-GE-5,1119,0.364966433,1.4986,0.53086,152
Napier,Gazelle NGa.13/2 Mk.162,1148,0.456208041,1.905,1.0795,426.4
MTU/Rolls-Royce,MTR 390,1160,0.279807598,1.07696,0.68326,169.2
Napier,Gazelle NGa.22 Mk.165,1193,0.419711398,1.905,1.0795,401
Napier,Gazelle NGa.22 Mk.165C,1193,0.419711398,1.905,1.0795,401
GE,T700-GE-700,1210,0.282848985,1.1684,0.635,198.2
GE,CT7-2A,1212,0.287715204,1.1938,0.6604,200.5
de Havilland (Bristol Siddeley),Gnome H.1400-1,1238,0.37713198,1.39192,0.57658,147.9
Isotov (Klimov),TV2-117A,1245,0.364966433,2.8321,0.74422,337.9
GE,T700-GE-401,1283,0.282240708,1.1684,0.635,200
GE,T700-GE-701,1283,0.282240708,1.1684,0.635,198.7
GE,T700-GE-701A,1283,0.282848985,1.1684,0.635,198.7
Pratt Whitney Canada,PT6T-3B-1,1342,0.362533323,1.7018,1.1176,299.4
Avco Lycoming,T53-L-703,1342,0.345501556,1.20904,0.5842,247.2
KHI,T53-K-703,1342,0.345501556,1.20904,0.5842,247.2
GE,T700-GE-401C,1342,0.279199321,1.1684,0.635,207.7
IHI,T700-IHI-401C,1342,0.279199321,1.1684,0.635,207.7
GE,T58-GE-16,1394,0.322387016,1.60782,0.61468,199.6
Turbomeca,Makila 1A1,1400,0.292581424,1.39446,0.51562,242.7
GE,T700-GE-701C,1409,0.281024153,1.1684,0.635,206.8
GE,T700-GE-701D,1450,0.282848985,1.1684,0.635,206.8
Pratt Whitney Canada,PW120A,1491,0.295014533,2.1336,0.7874,423.2
GE,T700-GE-T6A,1491,0.273724825,1.22428,0.635,220
GE,CT7-6A1,1600,0.270683438,1.22428,0.635,223.6
GE,T700-GE-T6A-1,1600,0.270683438,1.22428,0.635,223.6
Rolls-Royce/Turbomeca,RTM 322-01/8,1641,0.273724825,1.17094,0.65786,244.5
Rolls-Royce/Turbomeca,RTM 322-02/8,1641,0.273724825,1.17094,0.65786,244.5
GE,T700-GE-T6E,1693,0.263992386,1.22428,0.635,240.9
GE,T700-GE-T6E-1,1693,0.263992386,1.22428,0.635,243.6
Rolls-Royce/Turbomeca,RTM 322-01/9,1812,0.255476503,1.17094,0.65786,226.3
Avco Lycoming,YT55-L-9,1864,0.369832652,1.57988,0.61468,362.4
GE,T64-GE-P4D-1,2535,0.291973146,2.794,0.51054,538.9
GE,T64-GE-16A,2599,0.291973146,2.0066,0.61468,326.6
Avco Lycoming,T55-L-712,2796,0.316304242,1.2319,0.72898,344.7
Avco Lycoming,T55-L-712E,2796,0.316304242,1.2319,0.72898,344.7
Avco Lycoming,T55-L-712F,2796,0.316304242,1.2319,0.72898,344.7
KHI,T55-K-712,2796,0.316304242,1.2319,0.72898,244.9
MTU,T64-MTU-7,2927,0.291973146,2.0066,0.51054,323
GE,T64-GE-413,2927,0.285890372,2.0066,0.61468,326.6
GE,T64-GE-413A,2927,0.285890372,2.0066,0.61468,326.6
GE,T64-GE-7A,2935,0.285890372,2.0066,0.51054,326.6
GE,T64-GE-100,3229,0.291973146,2.0066,0.61468,326.6
GE,T64-GE-415,3266,0.285890372,2.0066,0.61468,326.6
Pratt Whitney,T73-P-1,3356,0.419711398,,0.8636,417.3
